nazwa;ocena;opinie;ocenamiejsca;dzielnica;dystans;opis
Unique Studio with stunning view & Netflix ;nowy;;;Wola, Warszawa ;1,5 km od centrum ;Obiekt Unique Studio with stunning view & Netflix, położony w centrum miejscowości Warszawa, oferuje bezpłatne WiFi oraz widok na miasto. 
Apartament Nova Ochota Arrenda ;nowy;;;Włochy, Warszawa ;6,2 km od centrum ;Obiekt Apartament Nova Ochota Arrenda położony jest w dzielnicy Włochy w miejscowości Warszawa. 
Hotel Metropol ;8,7;13667;9,6;Śródmieście, Warszawa ;150 m od centrum  Niedaleko stacji metra;Hotel Metropol usytuowany jest naprzeciwko Pałacu Kultury i Nauki. Obiekt oferuje przestronne pokoje z bezpłatnym WiFi. 
Hotel Gromada Warszawa Centrum ;8,2;10983;9,5;Śródmieście, Warszawa ;0,7 km od centrum Niedaleko stacji metra ;Trzygwiazdkowy hotel Gromada Warszawa Centrum znajduje się w centrum stolicy, 400 metrów od słynnej ulicy Nowy Świat. 
Hostel Warszawa Powstaniec Wola ;8,7;79;9,3;Wola, Warszawa ;1,9 km od centrum Niedaleko stacji metra ;Obiekt z etykietą „Zrównoważone podróże” Obiekt Hostel Warszawa Powstaniec Wola położony jest w miejscowości Warszawa i oferuje bezpłatne WiFi oraz widok na miasto. 
Retro Centrum ;7,1;60;9,3;Śródmieście, Warszawa ;1,1 km od centrum Niedaleko stacji metra ;Obiekt Retro Centrum znajduje się w centrum miejscowości Warszawa i zapewnia różne opcje zakwaterowania z doskonałym wyposażeniem oraz bezpłatnym WiFi. 
Fantastic - NS51 Room A ;9;3;10;Śródmieście, Warszawa ;0,9 km od centrum Niedaleko stacji metra ;Obiekt Fantastic - NS51 Room A usytuowany jest w centrum miejscowości Warszawa i oferuje balkon, skąd roztacza się widok na miasto. Obiekt zapewnia bezpłatne WiFi we wszystkich pomieszczeniach. 
OSiR Polna ;8,3;1024;;Śródmieście, Warszawa ;1,6 km od centrum Niedaleko stacji metra ;Obiekt OSiR Polna udostępnia Gościom kryty basen ze zjeżdżalnią wodną, wannę z hydromasażem, saunę i łaźnię parową. 
Motel One Warsaw-Chopin ;9,1;8762;9,5;Śródmieście, Warszawa ;1,2 km od centrum Niedaleko stacji metra ;Obiekt z etykietą „Zrównoważone podróże” Obiekt Motel One Warsaw-Chopin położony jest w dogodnej lokalizacji w miejscowości Warszawa i oferuje bezpłatne WiFi we wszystkich pomieszczeniach. Na miejscu serwowane jest śniadanie kontynentalne. 
Pokoje gościnne na Chmielniej ;8,3;149;9,6;Śródmieście, Warszawa ;0,6 km od centrum Niedaleko stacji metra ;Obiekt Pokoje gościnne na Chmielniej położony jest w dogodnej lokalizacji w centrum miejscowości Warszawa. 
Villa Plaza ;8,6;3174;;Wola, Warszawa ; 4,9 km od centrum ;Obiekt z etykietą „Zrównoważone podróże” Obiekt Villa Plaza położony jest w miejscowości Warszawa w regionie mazowieckie i zapewnia bezpłatne WiFi, bezpłatny prywatny parking oraz dostęp do centrum fitness. 
Hotel Łazienkowski ;7,9;1759;;Śródmieście, Warszawa ; 2,8 km od centrum ;Trzygwiazdkowy Hotel Łazienkowski położony jest zaledwie 100 metrów od pięknego Parku Łazienkowskiego. Do popularnego placu Trzech Krzyży można z hotelu dojechać w 5 minut. 
Attic Studio ;4,8;3290;;Śródmieście, Warszawa ;0,5 km od centrum ;Obiekt Attic Studio położony jest w centrum miejscowości Warszawa. W pobliżu znajdują się takie atrakcje, jak Ujazdowski Park, Dworzec PKP Warszawa Centralna i Muzeum Narodowe w Warszawie. 
Warsaw CCA - City Center Apartment Solidarności 60 ;nowy;;;Śródmieście, Warszawa ;1,9 km od centrum Niedaleko stacji metra ;Obiekt z etykietą „Zrównoważone podróże” Obiekt Warsaw CCA - City Center Apartment Solidarności 60 usytuowany jest w centrum miejscowości Warszawa i oferuje balkon, skąd roztacza się widok na miasto. 
ibis budget Warszawa Centrum ;8,1;8128;;Śródmieście, Warszawa ;2,3 km od centrum ;Obiekt z etykietą „Zrównoważone podróże” Obiekt ibis budget Warszawa Centrum położony jest w dogodnej lokalizacji w miejscowości Warszawa i oferuje klimatyzowane pokoje z bezpłatnym WiFi oraz prywatny parking. 
